CODMICRO;CODMESO;UF;REGIAO;MICROREGIAO;LAT;LONG;IDHM2010;ESCALA_IDH;POP;AREA;DENSID
420309;4203;SC;S;CURITIBANOS;-27,30676045;-50,83068692;0,71058856;ALTO;129.426;6.596;19,6
310625;3106;MG;SE;CURVELO;-18,41633792;-44,34145226;0,688321753;MEDIO;153.537;13.741;11,2
310310;3103;MG;SE;DIAMANTINA;-18,16823433;-43,60700509;0,683417922;MEDIO;83.987;7.367;11,4
170208;1702;TO;N;DIANOPOLIS;-12,19796525;-47,38127645;0,644056188;MEDIO;113.067;46.950;2,4
310943;3109;MG;SE;DIVINOPOLIS;-20,10620379;-44,97946431;0,738847936;ALTO;564.343;5.090;110,9
500410;5004;MS;CO;DOURADOS;-21,76498905;-55,36998273;0,715935622;ALTO;600.031;37.479;16
350834;3508;SP;SE;DRACENA;-21,37677986;-51,63514617;0,750633881;ALTO;124.050;2.864;43,3
520412;5204;GO;CO;ENTORNO DE BRASILIA;-15,91246901;-47,76282166;0,700292915;ALTO;1.350.540;38.108;35,4
290418;2904;BA;NE;ENTRE RIOS;-11,80252561;-37,80251753;0,585742227;BAIXO;111.889;4.352;25,7
430104;4301;RS;S;ERECHIM;-27,61941031;-52,31027602;0,750877868;ALTO;213.965;5.725;37,4
250314;2503;PB;NE;ESPERANCA;-7,045315021;-35,87732278;0,611790712;MEDIO;55.211;272;203,1
280313;2803;SE;NE;ESTANCIA;-11,24609415;-37,45487486;0,604911356;MEDIO;129.654;2.029;63,9
290414;2904;BA;NE;EUCLIDES DA CUNHA;-10,59532797;-39,41128425;0,560761378;BAIXO;305.835;19.092;16
410312;4103;PR;S;FAXINAL;-23,87881794;-51,5207148;0,700345816;ALTO;46.065;2.265;20,3
290312;2903;BA;NE;FEIRA DE SANTANA;-12,31666095;-39,33548737;0,663674089;MEDIO;1.066.581;12.740;83,7
260519;2605;PE;NE;FERNANDO DE NORONHA;-3,860503714;-32,42942992;0,788;ALTO;3.167;19;170,2
350102;3501;SP;SE;FERNANDOPOLIS;-20,19030755;-50,2774745;0,778919098;ALTO;115.597;2.810;41,1
410308;4103;PR;S;FLORAI;-23,57345739;-52,1318088;0,742036799;ALTO;38.751;1.300;29,8
220309;2203;PI;NE;FLORIANO;-7,112376119;-43,30566494;0,642292577;MEDIO;122.566;18.451;6,6
420516;4205;SC;S;FLORIANOPOLIS;-27,67131441;-48,73177194;0,808747491;MUITO ALTO;1.177.132;2.878;409,1
310944;3109;MG;SE;FORMIGA;-20,4184376;-45,39974092;0,737606967;ALTO;160.437;4.561;35,2
230316;2303;CE;NE;FORTALEZA;-3,947923287;-38,67238031;0,730063876;ALTO;3.448.358;3.326;1036,7
410624;4106;PR;S;FOZ DO IGUACU;-25,2509629;-53,97062126;0,744090999;ALTO;462.697;5.579;82,9
350212;3502;SP;SE;FRANCA;-20,51182547;-47,42767974;0,769383429;ALTO;424.151;3.443;123,2
410726;4107;PR;S;FRANCISCO BELTRAO;-25,91545596;-53,21662792;0,739846382;ALTO;279.075;5.451;51,2
351558;3515;SP;SE;FRANCO DA ROCHA;-23,32057228;-46,6377573;0,741957468;ALTO;498.635;600;830,9
430103;4301;RS;S;FREDERICO WESTPHALEN;-27,50110918;-53,20134343;0,713603402;ALTO;179.199;5.159;34,7
310521;3105;MG;SE;FRUTAL;-19,66382058;-49,72372766;0,722402463;ALTO;190.241;16.838;11,3
150205;1502;PA;N;FUROS DE BREVES;-0,973882353;-50,31162569;0,504358401;BAIXO;232.290;30.068;7,7
260311;2603;PE;NE;GARANHUNS;-9,042999463;-36,55795254;0,588899588;BAIXO;460.054;5.099;90,2
210520;2105;MA;NE;GERAIS DE BALSAS;-8,409684306;-46,42269501;0,653495737;MEDIO;151.780;36.666;4,1
520310;5203;GO;CO;GOIANIA;-16,80924039;-49,21299756;0,760082966;ALTO;2.532.295;6.748;375,3
410204;4102;PR;S;GOIOERE;-24,4524104;-52,7933597;0,712200646;ALTO;115.482;4.866;23,7
310837;3108;MG;SE;GOVERNADOR VALADARES;-18,62629774;-41,86675914;0,693570703;MEDIO;400.217;11.325;35,3
430524;4305;RS;S;GRAMADO-CANELA;-29,54383619;-50,82686925;0,73837357;ALTO;329.191;2.600;126,6
310208;3102;MG;SE;GRAO MOGOL;-16,63303937;-42,95977438;0,599031707;BAIXO;37.752;9.071;4,2
110102;1101;RO;N;GUAJARA-MIRIM;-11,78776774;-63,88132289;0,637526831;MEDIO;68.299;40.793;1,7
150413;1504;PA;N;GUAMA;-2,270352604;-47,40428023;0,540454048;BAIXO;420.823;28.281;14,9
290626;2906;BA;NE;GUANAMBI;-14,36585469;-42,99778152;0,620239663;MEDIO;379.862;23.455;16,2
310835;3108;MG;SE;GUANHAES;-18,71150315;-42,86050098;0,642776591;MEDIO;124.659;5.780;21,6
430214;4302;RS;S;GUAPORE;-28,78544739;-51,86256556;0,751553262;ALTO;136.053;3.648;37,3
250316;2503;PB;NE;GUARABIRA;-6,765952768;-35,41896141;0,6134859;MEDIO;165.139;1.298;127,3
320310;3203;ES;SE;GUARAPARI;-20,64533227;-40,7285037;0,727938092;ALTO;214.171;2.097;102,1
410829;4108;PR;S;GUARAPUAVA;-25,32463228;-51,98068039;0,692848639;MEDIO;388.957;16.189;24
351351;3513;SP;SE;GUARATINGUETA;-22,70889052;-45,06097727;0,771399766;ALTO;406.968;2.702;150,6
351559;3515;SP;SE;GUARULHOS;-23,3638501;-46,3531375;0,763342886;ALTO;1.431.636;778;1839,7
210207;2102;MA;NE;GURUPI;-12,05970422;-48,86523089;0,620397119;MEDIO;379.934;49.152;7,7
410417;4104;PR;S;IBAITI;-23,83692359;-50,32505834;0,690773345;MEDIO;77.660;3.034;25,6
230102;2301;CE;NE;IBIAPABA;-3,951813419;-40,9853794;0,616399036;MEDIO;322.334;5.094;63,3
500411;5004;MS;CO;IGUATEMI;-23,05967381;-54,47646354;0,66442273;MEDIO;242.261;22.464;10,8
230626;2306;CE;NE;IGUATU;-6,358358707;-38,93902263;0,641603083;MEDIO;218.615;4.771;45,8
