,eleicao,codmun,vencedor,vt_dir,vt_esq,qt_secoes,codmicro,codmeso,uf,regiao,lat,long,escala_idh,escala_dens
4229,2018,2612307,ESQUERDA,953,7509,46,260311,2603,PE,NE,"-8,975995481","-36,69272917",BAIXA,ALTA
4230,2022,2612307,ESQUERDA,1017,7785,46,260311,2603,PE,NE,"-8,975995481","-36,69272917",BAIXA,ALTA
4231,2018,2612406,ESQUERDA,2258,9452,42,260308,2603,PE,NE,"-8,362961969","-36,5625072",MEDIA,ALTA
4232,2022,2612406,ESQUERDA,2497,9748,42,260308,2603,PE,NE,"-8,362961969","-36,5625072",MEDIA,ALTA
4233,2018,2612455,ESQUERDA,819,6969,34,260101,2601,PE,NE,"-8,237961118","-40,33768766",BAIXA,BAIXA
4234,2022,2612455,ESQUERDA,1174,8645,37,260101,2601,PE,NE,"-8,237961118","-40,33768766",BAIXA,BAIXA
4235,2018,2612471,ESQUERDA,917,6019,27,260103,2601,PE,NE,"-7,821469682","-38,15313818",MEDIA,MUITO ALTA
4236,2022,2612471,ESQUERDA,1068,6151,27,260103,2601,PE,NE,"-7,821469682","-38,15313818",MEDIA,MUITO ALTA
4237,2018,2612505,DIREITA,19258,15275,137,260309,2603,PE,NE,"-7,9551895","-36,20395002",MEDIA,MUITO ALTA
4238,2018,2612505,EMPATE,128,128,1,260309,2603,PE,NE,"-7,9551895","-36,20395002",MEDIA,MUITO ALTA
4239,2018,2612505,ESQUERDA,3658,4362,32,260309,2603,PE,NE,"-7,9551895","-36,20395002",MEDIA,MUITO ALTA
4240,2022,2612505,DIREITA,17803,14601,108,260309,2603,PE,NE,"-7,9551895","-36,20395002",MEDIA,MUITO ALTA
4241,2022,2612505,EMPATE,907,907,7,260309,2603,PE,NE,"-7,9551895","-36,20395002",MEDIA,MUITO ALTA
4242,2022,2612505,ESQUERDA,7922,8954,58,260309,2603,PE,NE,"-7,9551895","-36,20395002",MEDIA,MUITO ALTA
4243,2018,2612554,ESQUERDA,773,6970,32,260101,2601,PE,NE,"-8,160511167","-40,61577519",BAIXA,BAIXA
4244,2022,2612554,ESQUERDA,1099,8032,34,260101,2601,PE,NE,"-8,160511167","-40,61577519",BAIXA,BAIXA
4245,2018,2612604,ESQUERDA,2850,17834,91,260205,2602,PE,NE,"-8,8041265","-39,82423573",BAIXA,BAIXA
4246,2022,2612604,ESQUERDA,3911,18803,95,260205,2602,PE,NE,"-8,8041265","-39,82423573",BAIXA,BAIXA
4247,2018,2612703,ESQUERDA,2158,5767,31,260309,2603,PE,NE,"-7,831813426","-35,88524334",BAIXA,MUITO ALTA
4248,2022,2612703,ESQUERDA,2416,6135,31,260309,2603,PE,NE,"-7,831813426","-35,88524334",BAIXA,MUITO ALTA
4249,2018,2612802,ESQUERDA,808,4733,27,260103,2601,PE,NE,"-7,370355739","-37,48003272",BAIXA,ALTA
4250,2022,2612802,ESQUERDA,970,5042,27,260103,2601,PE,NE,"-7,370355739","-37,48003272",BAIXA,ALTA
4251,2018,2612901,ESQUERDA,843,4105,26,260415,2604,PE,NE,"-8,810438234","-35,93112262",BAIXA,MUITO ALTA
4252,2022,2612901,ESQUERDA,1138,4249,27,260415,2604,PE,NE,"-8,810438234","-35,93112262",BAIXA,MUITO ALTA
4253,2018,2613008,ESQUERDA,5727,18139,105,260308,2603,PE,NE,"-8,519867521","-36,44629836",BAIXA,ALTA
4254,2022,2613008,ESQUERDA,6466,19814,107,260308,2603,PE,NE,"-8,519867521","-36,44629836",BAIXA,ALTA
4255,2018,2613107,ESQUERDA,5028,16917,93,260308,2603,PE,NE,"-8,3273605","-36,1373598",BAIXA,MUITO ALTA
4256,2022,2613107,ESQUERDA,5241,18488,98,260308,2603,PE,NE,"-8,3273605","-36,1373598",BAIXA,MUITO ALTA
4257,2018,2613206,ESQUERDA,1668,10263,52,260311,2603,PE,NE,"-8,877559375","-36,36825308",BAIXA,MUITO ALTA
4258,2022,2613206,ESQUERDA,1872,11706,52,260311,2603,PE,NE,"-8,877559375","-36,36825308",BAIXA,MUITO ALTA
4259,2018,2613305,ESQUERDA,3333,8559,56,260312,2603,PE,NE,"-8,4321515","-35,80949117",BAIXA,MUITO ALTA
4260,2022,2613305,ESQUERDA,3433,9626,55,260312,2603,PE,NE,"-8,4321515","-35,80949117",BAIXA,MUITO ALTA
4261,2018,2613404,DIREITA,129,112,1,260415,2604,PE,NE,"-8,894195131","-35,14570708",MEDIA,MUITO ALTA
4262,2018,2613404,EMPATE,111,111,1,260415,2604,PE,NE,"-8,894195131","-35,14570708",MEDIA,MUITO ALTA
4263,2018,2613404,ESQUERDA,3403,5728,42,260415,2604,PE,NE,"-8,894195131","-35,14570708",MEDIA,MUITO ALTA
4264,2022,2613404,DIREITA,289,286,2,260415,2604,PE,NE,"-8,894195131","-35,14570708",MEDIA,MUITO ALTA
4265,2022,2613404,EMPATE,141,141,1,260415,2604,PE,NE,"-8,894195131","-35,14570708",MEDIA,MUITO ALTA
4266,2022,2613404,ESQUERDA,4284,6097,43,260415,2604,PE,NE,"-8,894195131","-35,14570708",MEDIA,MUITO ALTA
4267,2018,2613503,ESQUERDA,2106,16021,78,260102,2601,PE,NE,"-7,861740055","-38,75945378",MEDIA,MEDIA
4268,2022,2613503,ESQUERDA,2443,16861,80,260102,2601,PE,NE,"-7,861740055","-38,75945378",MEDIA,MEDIA
4269,2018,2613602,ESQUERDA,3576,12970,73,260103,2601,PE,NE,"-7,474025183","-37,27507219",MEDIA,ALTA
4270,2022,2613602,ESQUERDA,3583,14107,74,260103,2601,PE,NE,"-7,474025183","-37,27507219",MEDIA,ALTA
4271,2018,2613701,DIREITA,296,270,2,260517,2605,PE,NE,"-7,995938","-35,04127754",MEDIA,MUITO ALTA
4272,2018,2613701,EMPATE,139,139,1,260517,2605,PE,NE,"-7,995938","-35,04127754",MEDIA,MUITO ALTA
4273,2018,2613701,ESQUERDA,21364,35835,212,260517,2605,PE,NE,"-7,995938","-35,04127754",MEDIA,MUITO ALTA
4274,2022,2613701,ESQUERDA,24022,39778,225,260517,2605,PE,NE,"-7,995938","-35,04127754",MEDIA,MUITO ALTA
4275,2018,2613800,ESQUERDA,2357,7430,42,260310,2603,PE,NE,"-7,592212733","-35,49012188",BAIXA,MUITO ALTA
4276,2022,2613800,ESQUERDA,2540,8099,42,260310,2603,PE,NE,"-7,592212733","-35,49012188",BAIXA,MUITO ALTA
4277,2018,2613909,ESQUERDA,9809,33354,183,260103,2601,PE,NE,"-7,98799752","-38,29631495",MEDIA,MEDIA
4278,2022,2613909,ESQUERDA,10506,35953,189,260103,2601,PE,NE,"-7,98799752","-38,29631495",MEDIA,MEDIA
